project,isolated_tests_OD_detected,isolated_tests_NOD_detected,isolated_tests_repaired,isolated_detection_OD_recall,isolated_detection_NOD_recall,isolated_repair_recall,isolated_detection_time,isolated_repair_time,integrated_tests_OD_detected,integrated_tests_NOD_detected,integrated_tests_repaired,integrated_detection_OD_recall,integrated_detection_NOD_recall,integrated_repair_recall,integrated_total_time
spring-cloud-netflix,8,0,0,0.8,No NOD tests,0,44,9,8,0,0,0.8,No NOD tests,0,39
json-iterator,20,1,0,1,0.125,0,9,8,20,1,0,1,0.125,0,17
nifi,0,0,0,0,No NOD tests,0,494,143,1,0,0,0.047619048,No NOD tests,0,174
fastjson,0,0,1,0,0,0.066666667,12,70,0,0,0,0,0,0,112
wasp,28,89,0,1,0.773913043,0,215,12,28,89,0,1,0.773913043,0,226
hive,3,0,0,0.157894737,No NOD tests,0,1440,74,2,0,0,0.105263158,No NOD tests,0,792
spring-cloud-kubernetes,30,0,0,1,No NOD tests,0,481,34,29,0,0,0.966666667,No NOD tests,0,456
visualee,47,0,46,1,No NOD tests,0.978723404,10,222,47,0,45,1,No NOD tests,0.957446809,227
ormlite-core,87,0,0,1,No NOD tests,0,61,40,87,0,0,1,No NOD tests,0,76
remoting,0,0,0,0,0,0,380,26,0,0,0,0,0,0,558
